👯,bunny ear,dancer,people with bunny ears,partying,,,,,
👯‍♂,bunny ear,dancer,men with bunny ears,men,partying,,,,
👯‍♀,bunny ear,dancer,women,partying,women with bunny ears,,,,
🧖,person in steamy room,sauna,steam room,,,,,,
🧖‍♂,man in steamy room,sauna,male,steam room,,,,,
🧖‍♀,sauna,steam room,female,woman in steamy room,,,,,
🧗,climber,person climbing,,,,,,,
🧗‍♂,climber,man climbing,male,,,,,,
🧗‍♀,climber,woman climbing,female,,,,,,
🤺,fencer,fencing,sword,person fencing,,,,,
🏇,horse,jockey,racing,racehorse,,,,,
⛷,ski,skier,snow,,,,,,
🏂,ski,snow,snowboarder,snowboard,,,,,
🏌,ball,golf,person golfing,,,,,,
🏌‍♂,golf,man,male,man golfing,,,,,
🏌‍♀,golf,woman,female,woman golfing,,,,,
🏄,person surfing,surfing,,,,,,,
🏄‍♂,man,surfing,male,,,,,,
🏄‍♀,surfing,woman,female,,,,,,
🚣,boat,person rowing boat,rowboat,,,,,,
🚣‍♂,boat,man,rowboat,man rowing boat,male,,,,
🚣‍♀,boat,rowboat,woman rowing boat,woman,female,,,,
🏊,person swimming,swim,,,,,,,
🏊‍♂,man,man swimming,male,swim,,,,,
🏊‍♀,swim,woman,female,woman swimming,,,,,
⛹,ball,person bouncing ball,,,,,,,
⛹‍♂,ball,man,male,man bouncing ball,,,,,
⛹‍♀,ball,woman,female,woman bouncing ball,,,,,
🏋,lifter,person lifting weights,weight,,,,,,
🏋‍♂,man,man lifting weights,male,weight lifter,,,,,
🏋‍♀,weight lifter,woman,female,woman lifting weights,,,,,
🚴,bicycle,biking,person biking,cyclist,,,,,
🚴‍♂,bicycle,biking,man,cyclist,male,,,,
🚴‍♀,bicycle,biking,woman,cyclist,female,,,,
🚵,bicycle,bicyclist,cyclist,bike,mountain,person mountain biking,,,
🚵‍♂,bicycle,bike,man,cyclist,man mountain biking,mountain,male,,
🚵‍♀,bicycle,bike,cyclist,biking,mountain,woman,female,,
🤸,cartwheel,gymnastics,person cartwheeling,,,,,,
🤸‍♂,cartwheel,gymnastics,man cartwheeling,man,male,,,,
🤸‍♀,cartwheel,gymnastics,woman cartwheeling,woman,female,,,,
🤼,people wrestling,wrestle,wrestler,,,,,,
🤼‍♂,men,men wrestling,wrestle,,,,,,
🤼‍♀,women,women wrestling,wrestle,,,,,,
🤽,person playing water polo,polo,water,,,,,,
🤽‍♂,man,man playing water polo,male,water polo,,,,,
🤽‍♀,water polo,woman,female,woman playing water polo,,,,,
🤾,ball,handball,person playing handball,,,,,,
🤾‍♂,handball,man,male,man playing handball,,,,,
🤾‍♀,handball,woman,female,woman playing handball,,,,,
🤹,balance,juggle,person juggling,multitask,skill,,,,
🤹‍♂,juggling,man,male,multitask,,,,,
🤹‍♀,juggling,multitask,female,woman,,,,,
🧘,meditation,person in lotus position,yoga,meditate,,,,,
🧘‍♂,man in lotus position,meditation,male,yoga,meditate,,,,
🧘‍♀,meditation,woman in lotus position,female,yoga,meditate,,,,
🛀,bath,bathtub,person taking bath,bathing,,,,,
🛌,hotel,person in bed,sleep,bed,sleeping,,,,
🧑‍🤝‍🧑,couple,hand,holding hands,hold,people holding hands,person,,,
👭,couple,hand,women,holding hands,women holding hands,female,,,
👫,couple,hand,holding hands,hold,man,woman,woman and man holding hands,female,male
👬,couple,Gemini,man,holding hands,men,men holding hands,twins,zodiac,male
💏,couple,kiss,,,,,,,
💑,couple,couple with heart,love,,,,,,
👪,family,,,,,,,,
🗣,face,head,speak,silhouette,speaking,shadow,shout,,
👤,bust,bust in silhouette,silhouette,shadow,,,,,
👥,bust,busts in silhouette,silhouette,shadow,,,,,
🫂,goodbye,hello,people hugging,hug,thanks,shadow,,,
👣,clothing,footprint,print,footprints,,,,,
🦰,ginger,red hair,redhead,red,,,,,
🦱,afro,curly,ringlets,curly hair,,,,,
🦳,gray,hair,white,old,grey,,,,
🦲,bald,chemotherapy,no hair,hairless,shaven,,,,
🐵,face,monkey,,,,,,,
🐒,monkey,,,,,,,,
🦍,gorilla,,,,,,,,
🦧,ape,orangutan,,,,,,,
🐶,dog,face,pet,puppy,,,,,
🐕,dog,pet,puppy,,,,,,
🦮,accessibility,blind,guide dog,guide,dog,assistance,service,,
🐕‍🦺,accessibility,assistance,service,dog,,,,,
🐩,dog,poodle,,,,,,,
🐺,face,wolf,,,,,,,
🦊,face,fox,,,,,,,
🦝,curious,raccoon,sly,,,,,,
🐱,cat,face,pet,kitten,kitty,,,,
🐈,cat,pet,kitten,kitty,,,,,
🐈‍⬛,black,cat,unlucky,kitty,kitten,,,,
🦁,face,Leo,zodiac,lion,,,,,
🐯,face,tiger,,,,,,,
🐅,tiger,,,,,,,,
🐆,leopard,cheetah,jaguar,panther,,,,,
🐴,face,horse,,,,,,,
🐎,equestrian,horse,racing,racehorse,,,,,
🦄,face,unicorn,,,,,,,
🦓,stripe,zebra,,,,,,,
🦌,deer,elk,moose,antelope,reindeer,,,,
🦬,bison,buffalo,wisent,herd,,,,,
🐮,cow,face,moo,,,,,,
🐂,bull,ox,zodiac,Taurus,cow,,,,
🐃,buffalo,water,,,,,,,
🐄,cow,moo,,,,,,,
🐷,face,pig,piggy,,,,,,
🐖,pig,sow,piggy,,,,,,
🐗,boar,pig,piggy,,,,,,
🐽,face,nose,pig,piggy,,,,,
🐏,Aries,male,sheep,ram,zodiac,,,,
🐑,ewe,female,sheep,,,,,,
🐐,Capricorn,goat,zodiac,,,,,,
🐪,camel,dromedary,hump,desert,,,,,
🐫,bactrian,camel,two-hump camel,hump,desert,,,,
🦙,alpaca,guanaco,vicuña,llama,wool,,,,
🦒,giraffe,spots,,,,,,,
🐘,elephant,,,,,,,,
🦣,extinction,large,tusk,mammoth,woolly,,,,
🦏,rhinoceros,rhino,,,,,,,
🦛,hippo,hippopotamus,,,,,,,
🐭,face,mouse,,,,,,,
🐁,mouse,,,,,,,,
🐀,rat,,,,,,,,
🐹,face,hamster,pet,gerbil,chinchilla,guinea pig,,,
🐰,bunny,face,rabbit,pet,,,,,
🐇,bunny,pet,rabbit,,,,,,
